Country,continent,Iso code,Admin-1 unit,rural_pfpr_2024,urban_pfpr_2024,weighted_prev,pv_present,population_rural,population_urban,population_total
Gabon,Africa,GAB,Moyen_Ogooue,0.24304528,0.165336406,0.175343109,no,11207,75823,87030
Gabon,Africa,GAB,Haut_Ogooue,0.197274483,0.136361544,0.137756903,no,15076,643051,658127
Gabon,Africa,GAB,Ogooue_Maritime,0.1520486,0.107596781,0.112246387,no,15512,132788,148300
Gabon,Africa,GAB,Ngounie,0.240191474,0.218910291,0.225531909,no,36892,81675,118567
Gabon,Africa,GAB,Nyanga,0.17855333,0.207379667,0.197144149,no,19663,35714,55377
Ghana,Africa,GHA,Upper_East,0.114989021,0.105749223,0.111929993,no,811506,401636,1213142
Ghana,Africa,GHA,Upper_West,0.142489928,0.116582298,0.139260614,no,748438,106575,855013
Ghana,Africa,GHA,North_East,0.120979285,0.112014613,0.119654427,no,561480,97369,658849
Ghana,Africa,GHA,Northern,0.175385096,0.130276856,0.162438866,no,1518884,611399,2130283
Ghana,Africa,GHA,Savannah,0.192559477,0.19333523,0.192574898,no,655570,13297,668867
Ghana,Africa,GHA,Bono_East,0.182273926,0.150772306,0.17643124,no,963006,219282,1182288
Ghana,Africa,GHA,Bono,0.19168921,0.140392169,0.178316764,no,860918,303565,1164483
Ghana,Africa,GHA,Oti,0.220500136,0.202023556,0.218015336,no,691602,107461,799063
Ghana,Africa,GHA,Ashanti,0.13932879,0.079168,0.093670408,no,1733792,5458551,7192343
Ghana,Africa,GHA,Ahafo,0.159205017,0.131402257,0.152434903,no,450352,144962,595314
Ghana,Africa,GHA,Volta,0.172895154,0.162458644,0.166223693,no,763256,1352448,2115704
Ghana,Africa,GHA,Eastern,0.169274725,0.147894691,0.15755382,no,1573957,1909924,3483881
Ghana,Africa,GHA,Western_North,0.170788361,0.129937251,0.164324895,no,695705,130764,826469
Ghana,Africa,GHA,Central,0.142754285,0.111554556,0.119275096,no,764783,2325807,3090590
Ghana,Africa,GHA,Western,0.153442964,0.107753374,0.124930546,no,878458,1458154,2336612
Ghana,Africa,GHA,Greater_Accra,0.126495887,0.081317433,0.082504464,no,161158,5972521,6133679
Guinea,Africa,GIN,Boke,0.231061451,0.194573321,0.223031567,no,1103643,311408,1415051
Guinea,Africa,GIN,Kankan,0.21937543,0.178517096,0.210875546,no,2291238,601860,2893098
Guinea,Africa,GIN,Labe,0.198903831,0.146479928,0.188242722,no,986369,251798,1238167
Guinea,Africa,GIN,Faranah,0.259210999,0.216146272,0.250921212,no,1005764,239758,1245522
Guinea,Africa,GIN,Kindia,0.257714089,0.181908064,0.22154396,no,1212373,1106363,2318736
Guinea,Africa,GIN,Mamou,0.236394389,0.184499186,0.226482199,no,721440,170332,891772
Guinea,Africa,GIN,Conakry,0.226161972,0.133542634,0.134082104,no,13969,2384308,2398277
Guinea,Africa,GIN,Nzerekore,0.349795044,0.252417139,0.326334981,no,1485313,471409,1956722
Kenya,Africa,KEN,Turkana,0.038375821,0.031178127,0.0379863,yes,1141176,65291,1206467
Kenya,Africa,KEN,Marsabit,0.028307097,0.027601469,0.028221926,yes,328620,45110,373730
Kenya,Africa,KEN,Mandera,0.022418184,0.017542055,0.02156645,yes,2185750,462598,2648348
Kenya,Africa,KEN,Wajir,0.020531953,0.015893618,0.019875826,yes,1481356,244075,1725431
Kenya,Africa,KEN,West_Pokot,0.045551855,0.028888389,0.044908644,yes,742344,29805,772149
Kenya,Africa,KEN,Samburu,0.03543164,0,0.03543164,yes,319616,0,319616
Kenya,Africa,KEN,Isiolo,0.030402778,0.033392169,0.031314311,yes,133427,58533,191960
Kenya,Africa,KEN,Baringo,0.048322279,0.04417764,0.048160826,yes,751400,30457,781857
