"","v024","v025","country","dataset"
"268","ashanti","urban","GH","GHKR8CFL"
"269","ashanti","rural","GH","GHKR8CFL"
"270","western north","rural","GH","GHKR8CFL"
"271","western north","urban","GH","GHKR8CFL"
"272","ahafo","urban","GH","GHKR8CFL"
"273","ahafo","rural","GH","GHKR8CFL"
"274","bono","rural","GH","GHKR8CFL"
"275","bono","urban","GH","GHKR8CFL"
"276","bono east","rural","GH","GHKR8CFL"
"277","bono east","urban","GH","GHKR8CFL"
"278","oti","rural","GH","GHKR8CFL"
"279","oti","urban","GH","GHKR8CFL"
"280","northern","rural","GH","GHKR8CFL"
"281","northern","urban","GH","GHKR8CFL"
"282","savannah","rural","GH","GHKR8CFL"
"283","savannah","urban","GH","GHKR8CFL"
"284","north east","rural","GH","GHKR8CFL"
"285","north east","urban","GH","GHKR8CFL"
"286","upper east","rural","GH","GHKR8CFL"
"287","upper east","urban","GH","GHKR8CFL"
"288","upper west","rural","GH","GHKR8CFL"
"289","upper west","urban","GH","GHKR8CFL"
"290","banjul","urban","GM","GMKR81FL"
"291","kanifing","urban","GM","GMKR81FL"
"292","brikama","urban","GM","GMKR81FL"
"293","brikama","rural","GM","GMKR81FL"
"294","mansakonko","urban","GM","GMKR81FL"
"295","mansakonko","rural","GM","GMKR81FL"
"296","kerewan","urban","GM","GMKR81FL"
"297","kerewan","rural","GM","GMKR81FL"
"298","kuntaur","urban","GM","GMKR81FL"
"299","kuntaur","rural","GM","GMKR81FL"
"300","janjanbureh","urban","GM","GMKR81FL"
"301","janjanbureh","rural","GM","GMKR81FL"
"302","basse","urban","GM","GMKR81FL"
"303","basse","rural","GM","GMKR81FL"
"304","mamou","urban","GN","GNKR71FL"
"305","mamou","rural","GN","GNKR71FL"
"306","n'zérékoré","rural","GN","GNKR71FL"
"307","kindia","rural","GN","GNKR71FL"
"308","conakry","urban","GN","GNKR71FL"
"309","kankan","rural","GN","GNKR71FL"
"310","boké","rural","GN","GNKR71FL"
"311","faranah","rural","GN","GNKR71FL"
"312","labé","rural","GN","GNKR71FL"
"313","kindia","urban","GN","GNKR71FL"
"314","kankan","urban","GN","GNKR71FL"
"315","labé","urban","GN","GNKR71FL"
"316","boké","urban","GN","GNKR71FL"
"317","faranah","urban","GN","GNKR71FL"
"318","n'zérékoré","urban","GN","GNKR71FL"
"319","mombasa","urban","KE","KEKR8CFL"
"320","kwale","rural","KE","KEKR8CFL"
"321","kwale","urban","KE","KEKR8CFL"
"322","kilifi","rural","KE","KEKR8CFL"
"323","kilifi","urban","KE","KEKR8CFL"
"324","tana river","urban","KE","KEKR8CFL"
"325","tana river","rural","KE","KEKR8CFL"
"326","lamu","rural","KE","KEKR8CFL"
"327","lamu","urban","KE","KEKR8CFL"
"328","taita taveta","rural","KE","KEKR8CFL"
"329","taita taveta","urban","KE","KEKR8CFL"
"330","garissa","rural","KE","KEKR8CFL"
"331","garissa","urban","KE","KEKR8CFL"
"332","wajir","rural","KE","KEKR8CFL"
"333","wajir","urban","KE","KEKR8CFL"
"334","mandera","rural","KE","KEKR8CFL"
"335","mandera","urban","KE","KEKR8CFL"
"336","marsabit","rural","KE","KEKR8CFL"
"337","marsabit","urban","KE","KEKR8CFL"
"338","isiolo","rural","KE","KEKR8CFL"
"339","isiolo","urban","KE","KEKR8CFL"
"340","meru","urban","KE","KEKR8CFL"
"341","meru","rural","KE","KEKR8CFL"
"342","tharaka-nithi","rural","KE","KEKR8CFL"
"343","tharaka-nithi","urban","KE","KEKR8CFL"
"344","embu","rural","KE","KEKR8CFL"
"345","embu","urban","KE","KEKR8CFL"
"346","kitui","rural","KE","KEKR8CFL"
"347","kitui","urban","KE","KEKR8CFL"
"348","machakos","urban","KE","KEKR8CFL"
"349","machakos","rural","KE","KEKR8CFL"
"350","makueni","rural","KE","KEKR8CFL"
"351","makueni","urban","KE","KEKR8CFL"
"352","nyandarua","rural","KE","KEKR8CFL"
"353","nyandarua","urban","KE","KEKR8CFL"
"354","nyeri","rural","KE","KEKR8CFL"
"355","nyeri","urban","KE","KEKR8CFL"
"356","kirinyaga","rural","KE","KEKR8CFL"
"357","kirinyaga","urban","KE","KEKR8CFL"
"358","murang'a","rural","KE","KEKR8CFL"
"359","murang'a","urban","KE","KEKR8CFL"
"360","kiambu","rural","KE","KEKR8CFL"
"361","kiambu","urban","KE","KEKR8CFL"
"362","turkana","rural","KE","KEKR8CFL"
"363","turkana","urban","KE","KEKR8CFL"
"364","west pokot","urban","KE","KEKR8CFL"
"365","west pokot","rural","KE","KEKR8CFL"
"366","samburu","rural","KE","KEKR8CFL"
"367","samburu","urban","KE","KEKR8CFL"
"368","trans nzoia","rural","KE","KEKR8CFL"
"369","trans nzoia","urban","KE","KEKR8CFL"
"370","uasin gishu","rural","KE","KEKR8CFL"
"371","uasin gishu","urban","KE","KEKR8CFL"
"372","elgeyo-marakwet","urban","KE","KEKR8CFL"
"373","elgeyo-marakwet","rural","KE","KEKR8CFL"
"374","nandi","rural","KE","KEKR8CFL"
"375","nandi","urban","KE","KEKR8CFL"
"376","baringo","rural","KE","KEKR8CFL"
"377","baringo","urban","KE","KEKR8CFL"
"378","laikipia","rural","KE","KEKR8CFL"
"379","laikipia","urban","KE","KEKR8CFL"
"380","nakuru","rural","KE","KEKR8CFL"
"381","nakuru","urban","KE","KEKR8CFL"
"382","narok","rural","KE","KEKR8CFL"
"383","narok","urban","KE","KEKR8CFL"
"384","kajiado","urban","KE","KEKR8CFL"
"385","kajiado","rural","KE","KEKR8CFL"
"386","kericho","rural","KE","KEKR8CFL"
"387","kericho","urban","KE","KEKR8CFL"
"388","bomet","rural","KE","KEKR8CFL"
"389","bomet","urban","KE","KEKR8CFL"
"390","kakamega","urban","KE","KEKR8CFL"
"391","kakamega","rural","KE","KEKR8CFL"
"392","vihiga","rural","KE","KEKR8CFL"
"393","vihiga","urban","KE","KEKR8CFL"
"394","bungoma","rural","KE","KEKR8CFL"
"395","bungoma","urban","KE","KEKR8CFL"
"396","busia","rural","KE","KEKR8CFL"
"397","busia","urban","KE","KEKR8CFL"
"398","siaya","rural","KE","KEKR8CFL"
"399","siaya","urban","KE","KEKR8CFL"
"400","kisumu","rural","KE","KEKR8CFL"
"401","kisumu","urban","KE","KEKR8CFL"
"402","homa bay","urban","KE","KEKR8CFL"
"403","homa bay","rural","KE","KEKR8CFL"
"404","migori","rural","KE","KEKR8CFL"
"405","migori","urban","KE","KEKR8CFL"
"406","kisii","rural","KE","KEKR8CFL"
"407","kisii","urban","KE","KEKR8CFL"
"408","nyamira","rural","KE","KEKR8CFL"
"409","nyamira","urban","KE","KEKR8CFL"
"410","nairobi","urban","KE","KEKR8CFL"
"411","Mohéli","Rural","KM","KMKR61FL"
"412","Mohéli","Urban","KM","KMKR61FL"
"413","Ndzouani","Rural","KM","KMKR61FL"
"414","Ndzouani","Urban","KM","KMKR61FL"
"415","Ngazidja","Rural","KM","KMKR61FL"
"416","Ngazidja","Urban","KM","KMKR61FL"
"417","north western","rural","LB","LBKR7AFL"
"418","south eastern a","rural","LB","LBKR7AFL"
"419","south central","rural","LB","LBKR7AFL"
"420","south central","urban","LB","LBKR7AFL"
"421","south eastern b","rural","LB","LBKR7AFL"
"422","north western","urban","LB","LBKR7AFL"
"423","north central","rural","LB","LBKR7AFL"
"424","north central","urban","LB","LBKR7AFL"
"425","south eastern b","urban","LB","LBKR7AFL"
"426","south eastern a","urban","LB","LBKR7AFL"
"427","butha-buthe","rural","LS","LSKR81FL"
"428","butha-buthe","urban","LS","LSKR81FL"
"429","leribe","rural","LS","LSKR81FL"
"430","leribe","urban","LS","LSKR81FL"
"431","berea","rural","LS","LSKR81FL"
"432","berea","urban","LS","LSKR81FL"
"433","maseru","rural","LS","LSKR81FL"
"434","maseru","urban","LS","LSKR81FL"
"435","mafeteng","rural","LS","LSKR81FL"
"436","mafeteng","urban","LS","LSKR81FL"
"437","mohale's hoek","rural","LS","LSKR81FL"
"438","mohale's hoek","urban","LS","LSKR81FL"
"439","quthing","rural","LS","LSKR81FL"
"440","quthing","urban","LS","LSKR81FL"
"441","qacha's nek","rural","LS","LSKR81FL"
"442","thaba-tseka","rural","LS","LSKR81FL"
"443","qacha's nek","urban","LS","LSKR81FL"
"444","mokhotlong","rural","LS","LSKR81FL"
"445","mokhotlong","urban","LS","LSKR81FL"
"446","thaba-tseka","urban","LS","LSKR81FL"
"447","antananarivo","urban","MD","MDKR81FL"
"448","analamanga","rural","MD","MDKR81FL"
"449","analamanga","urban","MD","MDKR81FL"
"450","vakinankaratra","urban","MD","MDKR81FL"
"451","vakinankaratra","rural","MD","MDKR81FL"
"452","itasy","urban","MD","MDKR81FL"
