"","Country","Region (admin-1)","PMC delivery strategy (vs. comparator)","Cost-effectiveness threshold (lower)","Cost-effectiveness threshold (upper)","Additional clinical malaria cases averted","Additional hospitalisations averted","Additional deaths averted","Additional DALYs averted","Difference in treatment costs","Difference in implementation costs","Difference in implementation costs (incl. national costs)","Difference in total costs","Difference in total costs (incl. national costs)","ICER based on regional costs only (no national costs)","Cost-effective? (lower country-specific threshold)","Cost-effective? (higher country-specific threshold)","Cost-effective? ($250 / DALY averted threshold)","ICER including national costs for every individual region (i.e. double-counting, just done for calculation purposes)","ICER (incl. national costs) below CET lower bound (Y/N)","ICER (incl. national costs) below CET upper bound (Y/N)","ICER (incl. national costs) below $250 / DALY averted threshold (Y/N)","Current scenario chosen"
"240","COD","Nord_Kivu","No PMC vs PMC co-delivery with EPI only",32,149,-6219.54239204599,-496.67637694459,-106.785421043086,-490.040041171069,45436.5632825878,-743900.679271703,-911518.679271703,-698464.115989115,-866082.115989115,1425.32049895345,"no","no","no",1767.37009881765,"no","no","no",NA
"241","COD","Nord_Ubangi","PMC co-delivery with EPI only vs No PMC",32,149,10328.29744668,465.81733886874,100.150727856779,688.847603707001,-56009.18280573,265027.900496653,432645.900496653,209018.717690923,376636.717690923,303.4324523539,"no","no","no",546.763486820699,"no","no","no",NA
"242","COD","Nord_Ubangi","No PMC vs PMC co-delivery with EPI only",32,149,-10328.29744668,-465.81733886874,-100.150727856779,-688.847603707001,56009.18280573,-265027.900496653,-432645.900496653,-209018.717690923,-376636.717690923,303.4324523539,"no","no","no",546.763486820699,"no","no","no",NA
"243","COD","Sankuru","PMC co-delivery with EPI only vs No PMC",32,149,40.93421906229,3.43023397286071,0.73750030416506,3.28136659473233,-307.781566875432,379345.53873858,546963.53873858,379037.757171705,546655.757171705,115512.16428551,"no","no","no",166593.930117186,"no","no","no",NA
"244","COD","Sankuru","No PMC vs PMC co-delivery with EPI only",32,149,-40.93421906229,-3.43023397286071,-0.73750030416506,-3.28136659473233,307.781566875432,-379345.53873858,-546963.53873858,-379037.757171705,-546655.757171705,115512.16428551,"no","no","no",166593.930117186,"no","no","no",NA
"245","COD","Sud_Kivu","PMC co-delivery with EPI only vs No PMC",32,149,5502.5816868184,398.21352877311,85.615908686219,419.209974040781,-37966.8097486556,756183.375636235,923801.375636235,718216.56588758,885834.56588758,1713.26211293272,"no","no","no",2113.10469870024,"no","no","no",NA
"246","COD","Sud_Kivu","No PMC vs PMC co-delivery with EPI only",32,149,-5502.5816868184,-398.21352877311,-85.615908686219,-419.209974040781,37966.8097486556,-756183.375636235,-923801.375636235,-718216.56588758,-885834.56588758,1713.26211293272,"no","no","no",2113.10469870024,"no","no","no",NA
"247","COD","Sud_Ubangi","PMC co-delivery with EPI only vs No PMC",32,149,8427.33886877401,473.28614994516,101.75652223821,594.49786248839,-50748.8721548812,283011.641769614,450629.641769614,232262.769614733,399880.769614733,390.68730818064,"no","no","no",672.636177262189,"no","no","no",NA
"248","COD","Sud_Ubangi","No PMC vs PMC co-delivery with EPI only",32,149,-8427.33886877401,-473.28614994516,-101.75652223821,-594.49786248839,50748.8721548812,-283011.641769614,-450629.641769614,-232262.769614733,-399880.769614733,390.68730818064,"no","no","no",672.636177262189,"no","no","no",NA
"249","COD","Tanganyika","PMC co-delivery with EPI only vs No PMC",32,149,14146.128183023,807.022786814301,173.509899165075,1002.29646714555,-85867.6091263699,491836.101121775,659454.101121775,405968.491995405,573586.491995405,405.038334766925,"no","no","no",572.272287488879,"no","no","no",NA
"250","COD","Tanganyika","No PMC vs PMC co-delivery with EPI only",32,149,-14146.128183023,-807.022786814301,-173.509899165075,-1002.29646714555,85867.6091263699,-491836.101121775,-659454.101121775,-405968.491995405,-573586.491995405,405.038334766925,"no","no","no",572.272287488879,"no","no","no",NA
