"Iso code","Admin-1 unit","Rurality","Age group","age_in_days_midpoint","infection_class","units","value"
"SLE","Eastern","rural/urban merged","n_age_560_566",563,"severe","ppy",0.0877878588309948
"SLE","Eastern","rural/urban merged","n_age_567_573",570,"severe","ppy",0.0659425573828998
"SLE","Eastern","rural/urban merged","n_age_574_580",577,"severe","ppy",0.0778750951984986
"SLE","Eastern","rural/urban merged","n_age_581_587",584,"severe","ppy",0.111727874674286
"SLE","Eastern","rural/urban merged","n_age_588_594",591,"severe","ppy",0.0630000538222368
"SLE","Eastern","rural/urban merged","n_age_595_601",598,"severe","ppy",0.086354132424812
"SLE","Eastern","rural/urban merged","n_age_602_608",605,"severe","ppy",0.0612012008648399
"SLE","Eastern","rural/urban merged","n_age_609_615",612,"severe","ppy",0.0754741875883939
"SLE","Eastern","rural/urban merged","n_age_616_622",619,"severe","ppy",0.0783942573828494
"SLE","Eastern","rural/urban merged","n_age_623_629",626,"severe","ppy",0.0791721280537533
"SLE","Eastern","rural/urban merged","n_age_630_636",633,"severe","ppy",0.0751659849326972
"SLE","Eastern","rural/urban merged","n_age_637_643",640,"severe","ppy",0.0733568020742006
"SLE","Eastern","rural/urban merged","n_age_644_650",647,"severe","ppy",0.054616476333229
"SLE","Eastern","rural/urban merged","n_age_651_657",654,"severe","ppy",0.0656613803286904
"SLE","Eastern","rural/urban merged","n_age_658_664",661,"severe","ppy",0.0658082287187297
"SLE","Eastern","rural/urban merged","n_age_665_671",668,"severe","ppy",0.067141656506591
"SLE","Eastern","rural/urban merged","n_age_672_678",675,"severe","ppy",0.0406271150892148
"SLE","Eastern","rural/urban merged","n_age_679_685",682,"severe","ppy",0.0616035315418774
"SLE","Eastern","rural/urban merged","n_age_686_692",689,"severe","ppy",0.0643745371370127
"SLE","Eastern","rural/urban merged","n_age_693_699",696,"severe","ppy",0.0713909207785224
"SLE","Eastern","rural/urban merged","n_age_700_706",703,"severe","ppy",0.0641528403987154
"SLE","Eastern","rural/urban merged","n_age_707_713",710,"severe","ppy",0.0489069291157203
"SLE","Eastern","rural/urban merged","n_age_714_720",717,"severe","ppy",0.0642297571469339
"SLE","Eastern","rural/urban merged","n_age_721_727",724,"severe","ppy",0.0753491168423318
"SLE","Eastern","rural/urban merged","n_age_728_734",731,"severe","ppy",0.0640312239562632
"SLE","Eastern","rural/urban merged","n_age_735_741",738,"severe","ppy",0.0465230089843581
"SLE","Eastern","rural/urban merged","n_age_742_748",745,"severe","ppy",0.0702714321960157
"SLE","Eastern","rural/urban merged","n_age_749_755",752,"severe","ppy",0.0623866219436946
"SLE","Eastern","rural/urban merged","n_age_756_762",759,"severe","ppy",0.0509218742988035
"SLE","Eastern","rural/urban merged","n_age_763_769",766,"severe","ppy",0.0447507954404087
"SLE","Eastern","rural/urban merged","n_age_770_776",773,"severe","ppy",0.0539670693333298
"SLE","Eastern","rural/urban merged","n_age_777_783",780,"severe","ppy",0.0560704175122318
"SLE","Eastern","rural/urban merged","n_age_784_790",787,"severe","ppy",0.0631805474521489
"SLE","Eastern","rural/urban merged","n_age_791_797",794,"severe","ppy",0.0606179999026825
"SLE","Eastern","rural/urban merged","n_age_798_804",801,"severe","ppy",0.0336491937950644
"SLE","Eastern","rural/urban merged","n_age_805_811",808,"severe","ppy",0.0538212481219297
"SLE","Eastern","rural/urban merged","n_age_812_818",815,"severe","ppy",0.0641710771399944
"SLE","Eastern","rural/urban merged","n_age_819_825",822,"severe","ppy",0.0854798021585357
"SLE","Eastern","rural/urban merged","n_age_826_832",829,"severe","ppy",0.0664754859752168
"SLE","Eastern","rural/urban merged","n_age_833_839",836,"severe","ppy",0.0329985070123506
"SLE","Eastern","rural/urban merged","n_age_840_846",843,"severe","ppy",0.0388820853665355
"SLE","Eastern","rural/urban merged","n_age_847_853",850,"severe","ppy",0.0637008533503127
"SLE","Eastern","rural/urban merged","n_age_854_860",857,"severe","ppy",0.0670745986786533
"SLE","Eastern","rural/urban merged","n_age_861_867",864,"severe","ppy",0.0364801875618181
"SLE","Eastern","rural/urban merged","n_age_868_874",871,"severe","ppy",0.045912382572979
"SLE","Eastern","rural/urban merged","n_age_875_881",878,"severe","ppy",0.0291805176244021
"SLE","Eastern","rural/urban merged","n_age_882_888",885,"severe","ppy",0.0462037888329849
"SLE","Eastern","rural/urban merged","n_age_889_895",892,"severe","ppy",0.0585259037785066
"SLE","Eastern","rural/urban merged","n_age_896_902",899,"severe","ppy",0.0411316992526316
"SLE","Eastern","rural/urban merged","n_age_903_909",906,"severe","ppy",0.054634782867054
"SLE","Eastern","rural/urban merged","n_age_910_916",913,"severe","ppy",0.0357406789034151
"SLE","Northern","rural/urban merged","n_age_0_6",3,"clinical","ppy",0.093175727920687
"SLE","Northern","rural/urban merged","n_age_7_13",10,"clinical","ppy",0.14999832767046
"SLE","Northern","rural/urban merged","n_age_14_20",17,"clinical","ppy",0.130218709893682
"SLE","Northern","rural/urban merged","n_age_21_27",24,"clinical","ppy",0.183371499892177
"SLE","Northern","rural/urban merged","n_age_28_34",31,"clinical","ppy",0.192741845860797
"SLE","Northern","rural/urban merged","n_age_35_41",38,"clinical","ppy",0.261759536959763
"SLE","Northern","rural/urban merged","n_age_42_48",45,"clinical","ppy",0.305451040131072
"SLE","Northern","rural/urban merged","n_age_49_55",52,"clinical","ppy",0.382202143855665
"SLE","Northern","rural/urban merged","n_age_56_62",59,"clinical","ppy",0.41927565111022
"SLE","Northern","rural/urban merged","n_age_63_69",66,"clinical","ppy",0.535467472003576
"SLE","Northern","rural/urban merged","n_age_70_76",73,"clinical","ppy",0.471921194483871
"SLE","Northern","rural/urban merged","n_age_77_83",80,"clinical","ppy",0.625827611962947
"SLE","Northern","rural/urban merged","n_age_84_90",87,"clinical","ppy",0.732253476388513
"SLE","Northern","rural/urban merged","n_age_91_97",94,"clinical","ppy",0.876658261735287
"SLE","Northern","rural/urban merged","n_age_98_104",101,"clinical","ppy",1.02905590763402
"SLE","Northern","rural/urban merged","n_age_105_111",108,"clinical","ppy",1.17987172920056
"SLE","Northern","rural/urban merged","n_age_112_118",115,"clinical","ppy",1.35059870015124
"SLE","Northern","rural/urban merged","n_age_119_125",122,"clinical","ppy",1.318388125766
"SLE","Northern","rural/urban merged","n_age_126_132",129,"clinical","ppy",1.61339913643257
"SLE","Northern","rural/urban merged","n_age_133_139",136,"clinical","ppy",1.82358199019845
"SLE","Northern","rural/urban merged","n_age_140_146",143,"clinical","ppy",1.97744594341851
"SLE","Northern","rural/urban merged","n_age_147_153",150,"clinical","ppy",2.11389572739716
"SLE","Northern","rural/urban merged","n_age_154_160",157,"clinical","ppy",2.31439132789193
"SLE","Northern","rural/urban merged","n_age_161_167",164,"clinical","ppy",2.47875368149048
"SLE","Northern","rural/urban merged","n_age_168_174",171,"clinical","ppy",2.75866118347392
"SLE","Northern","rural/urban merged","n_age_175_181",178,"clinical","ppy",2.73022116117114
"SLE","Northern","rural/urban merged","n_age_182_188",185,"clinical","ppy",2.9155164291037
"SLE","Northern","rural/urban merged","n_age_189_195",192,"clinical","ppy",3.23400678277556
"SLE","Northern","rural/urban merged","n_age_196_202",199,"clinical","ppy",3.31273064662609
"SLE","Northern","rural/urban merged","n_age_203_209",206,"clinical","ppy",3.43446698366572
"SLE","Northern","rural/urban merged","n_age_210_216",213,"clinical","ppy",3.47621539105794
"SLE","Northern","rural/urban merged","n_age_217_223",220,"clinical","ppy",3.66431899070544
"SLE","Northern","rural/urban merged","n_age_224_230",227,"clinical","ppy",3.62087777715126
"SLE","Northern","rural/urban merged","n_age_231_237",234,"clinical","ppy",3.71520532477994
"SLE","Northern","rural/urban merged","n_age_238_244",241,"clinical","ppy",3.69539546079262
"SLE","Northern","rural/urban merged","n_age_245_251",248,"clinical","ppy",4.1172158465496
"SLE","Northern","rural/urban merged","n_age_252_258",255,"clinical","ppy",3.81632793388938
"SLE","Northern","rural/urban merged","n_age_259_265",262,"clinical","ppy",4.18765605789956
"SLE","Northern","rural/urban merged","n_age_266_272",269,"clinical","ppy",4.10422226527005
"SLE","Northern","rural/urban merged","n_age_273_279",276,"clinical","ppy",4.10814982931261
"SLE","Northern","rural/urban merged","n_age_280_286",283,"clinical","ppy",4.11602136025395
"SLE","Northern","rural/urban merged","n_age_287_293",290,"clinical","ppy",4.07224236453609
"SLE","Northern","rural/urban merged","n_age_294_300",297,"clinical","ppy",4.11206054936838
"SLE","Northern","rural/urban merged","n_age_301_307",304,"clinical","ppy",4.15683349082499
