"Country","Iso code","Age group","age_in_days_midpoint","N doses","units","clinical_ppy_with_PMC","severe_ppy_with_PMC"
"Sierra Leone","SLE","n_age_770_776",773,6,"raw cases",2.69749259484287,0.0622771426734454
"Sierra Leone","SLE","n_age_777_783",780,6,"raw cases",2.70354219582842,0.0682743918364797
"Sierra Leone","SLE","n_age_784_790",787,6,"raw cases",2.69918791315878,0.0537571649287295
"Sierra Leone","SLE","n_age_791_797",794,6,"raw cases",2.66162142343312,0.049325316770889
"Sierra Leone","SLE","n_age_798_804",801,6,"raw cases",2.69879042457858,0.0562808989690087
"Sierra Leone","SLE","n_age_805_811",808,6,"raw cases",2.6223895270843,0.0581991120694268
"Sierra Leone","SLE","n_age_812_818",815,6,"raw cases",2.65092724668931,0.053982992806666
"Sierra Leone","SLE","n_age_819_825",822,6,"raw cases",2.59418456330177,0.0516809458737518
"Sierra Leone","SLE","n_age_826_832",829,6,"raw cases",2.66589968532849,0.0522487238939667
"Sierra Leone","SLE","n_age_833_839",836,6,"raw cases",2.5427368328502,0.0533358452936982
"Sierra Leone","SLE","n_age_840_846",843,6,"raw cases",2.56997199404705,0.0397910311827642
"Sierra Leone","SLE","n_age_847_853",850,6,"raw cases",2.60060378737488,0.0525787979077012
"Sierra Leone","SLE","n_age_854_860",857,6,"raw cases",2.56037971713097,0.0380822000771993
"Sierra Leone","SLE","n_age_861_867",864,6,"raw cases",2.58044908081237,0.0424120006114644
"Sierra Leone","SLE","n_age_868_874",871,6,"raw cases",2.62770016507956,0.0437016375927923
"Sierra Leone","SLE","n_age_875_881",878,6,"raw cases",2.64260451806098,0.0473493510685814
"Sierra Leone","SLE","n_age_882_888",885,6,"raw cases",2.59196936215282,0.041509324346093
"Sierra Leone","SLE","n_age_889_895",892,6,"raw cases",2.54995264061013,0.0474832042707947
"Sierra Leone","SLE","n_age_896_902",899,6,"raw cases",2.55765607448728,0.0402856422416833
"Sierra Leone","SLE","n_age_903_909",906,6,"raw cases",2.57528713872907,0.046463934696554
"Sierra Leone","SLE","n_age_910_916",913,6,"raw cases",2.57482314973435,0.0346312571821972
