"Country","Iso code","Age group","age_in_days_midpoint","Admin-1 unit","units","N doses","clinical_cases_no_PMC","severe_cases_no_PMC","clinical_cases_no_PMC_per1000","severe_cases_no_PMC_per1000","clinical_cases_averted_with_PMC","severe_cases_averted_with_PMC","clinical_cases_averted_with_PMC_per1000","severe_cases_averted_with_PMC_per1000","clinical_cases_with_PMC","severe_cases_with_PMC","clinical_cases_with_PMC_per1000","severe_cases_with_PMC_per1000"
"Sierra Leone","SLE","n_age_798_804",801,"Eastern","raw cases",6,1579.44621313321,20.3897342805956,2606.56127162868,33.6491937950644,15.3398582092457,-19.1779952229619,25.3153795222802,-31.6494599182885,1564.10635492397,39.5677295035575,2581.2458921064,65.2986537133529
"Sierra Leone","SLE","n_age_805_811",808,"Eastern","raw cases",6,1544.91670890931,32.6002552998183,2550.5734465333,53.8212481219297,-54.9937641308481,-4.94228741075646,-90.7917130471596,-8.159447666218,1599.91047304016,37.5425427105747,2641.36515958046,61.9806957881477
"Sierra Leone","SLE","n_age_812_818",815,"Eastern","raw cases",6,1557.85064963157,38.8529723150705,2573.0066003553,64.1710771399944,-24.6363725114227,8.62888488988644,-40.6903890919798,14.2518012112616,1582.48702214299,30.224087425184,2613.69698944728,49.9192759287328
"Sierra Leone","SLE","n_age_819_825",822,"Eastern","raw cases",6,1515.32212826622,51.7340387381984,2503.75649939367,85.4798021585357,-61.6649742641509,27.5030216814027,-101.88861973227,45.4430566301867,1576.98710253038,24.2310170567957,2605.64511912594,40.036745528349
"Sierra Leone","SLE","n_age_826_832",829,"Eastern","raw cases",6,1559.82591846817,40.218169090425,2578.1926008063,66.4754859752168,7.4100358435594,1.03632697403868,12.24784083748,1.7129158483957,1552.41588262461,39.1818421163863,2565.94475996882,64.7625701268211
"Sierra Leone","SLE","n_age_833_839",836,"Eastern","raw cases",6,1546.15285999128,19.9569255380878,2556.54288508593,32.9985070123506,68.7280001416236,-5.94235583251977,113.640820590821,-9.8256051632327,1477.42485984965,25.8992813706076,2442.90206449511,42.8241121755833
"Sierra Leone","SLE","n_age_840_846",843,"Eastern","raw cases",6,1570.16524080946,23.5051931088541,2597.35364223503,38.8820853665355,112.702500544254,1.1921932733198,186.4314931126,1.97211571127949,1457.4627402652,22.3129998355343,2410.92214912243,36.909969655256
"Sierra Leone","SLE","n_age_847_853",850,"Eastern","raw cases",6,1558.44288273985,38.4951289778917,2578.87541006199,63.7008533503127,22.088605262094,-0.706818689404287,36.5517155513803,-1.16962729764749,1536.35427747775,39.201947667296,2542.32369451061,64.8704806479602
"Sierra Leone","SLE","n_age_854_860",857,"Eastern","raw cases",6,1588.25255523927,40.5193880260391,2629.14638973715,67.0745986786533,-14.8148893932796,17.2997549030328,-24.52413051955,28.6375035233577,1603.06744463255,23.2196331230063,2653.6705202567,38.4370951552956
"Sierra Leone","SLE","n_age_861_867",864,"Eastern","raw cases",6,1564.33910257879,22.0304793839997,2590.38320853823,36.4801875618181,33.49841626341,-1.37344094656715,55.4699009046799,-2.27427567337639,1530.84068631538,23.4039203305669,2534.91330763355,38.7544632351945
"Sierra Leone","SLE","n_age_868_874",871,"Eastern","raw cases",6,1507.18256936653,27.7172024037531,2496.58467417013,45.912382572979,-55.0357285810362,-5.56272580522921,-91.1643747080698,-9.2144218452467,1562.21829794756,33.2799282089823,2587.7490488782,55.1268044182257
"Sierra Leone","SLE","n_age_875_881",878,"Eastern","raw cases",6,1446.88061296309,17.6096018036985,2397.59681664736,29.1805176244021,-101.262296886422,-15.255796338847,-167.79971926231,-25.2800738428119,1548.14290984952,32.8653981425455,2565.39653590967,54.460591467214
"Sierra Leone","SLE","n_age_882_888",885,"Eastern","raw cases",6,1468.75682808778,27.8708845729177,2434.87536803603,46.2037888329849,-26.3299112116235,-9.88529495070197,-43.6491943565798,-16.387642066367,1495.08673929941,37.7561795236197,2478.52456239261,62.5914308993519
"Sierra Leone","SLE","n_age_889_895",892,"Eastern","raw cases",6,1475.62569360505,35.2904135252686,2447.18944126807,58.5259037785066,-25.2129862912054,5.33972703199979,-41.8134179298104,8.8554459769803,1500.83867989625,29.9506864932688,2489.00285919788,49.6704578015263
"Sierra Leone","SLE","n_age_896_902",899,"Eastern","raw cases",6,1542.50333803269,24.7926833152648,2559.05270879161,41.1316992526316,71.6427007671341,-6.32289775630202,118.857083121201,-10.4898499936563,1470.86063726556,31.1155810715668,2440.19562567041,51.6215492462879
"Sierra Leone","SLE","n_age_903_909",906,"Eastern","raw cases",6,1524.82245570231,32.9169000376356,2530.86845003184,54.634782867054,-16.2919727401122,1.78269610209411,-27.0410759249598,2.9588817399116,1541.11442844242,31.1342039355415,2557.9095259568,51.6759011271424
"Sierra Leone","SLE","n_age_910_916",913,"Eastern","raw cases",6,1498.5523616556,21.5251473278098,2488.21891726104,35.7406789034151,-14.4118087566728,1.32211622106274,-23.9295843761406,2.1952616913776,1512.96417041228,20.2030311067471,2512.14850163718,33.5454172120375
"Sierra Leone","SLE","n_age_0_6",3,"Northern","raw cases",6,79.0546019028375,1.82653426973756,93.175727920687,2.1527989017521,16.4894269210671,-2.72318591264272,19.4348503361479,-3.2096149188848,62.5651749817704,4.54972018238029,73.7408775845391,5.3624138206369
"Sierra Leone","SLE","n_age_7_13",10,"Northern","raw cases",6,148.357855365244,7.57860094849782,149.99832767046,7.66240160022393,57.7783572884015,-0.423995662058789,58.417243545817,-0.428684009294779,90.5794980768425,8.00259661055661,91.581084124643,8.09108560951871
"Sierra Leone","SLE","n_age_14_20",17,"Northern","raw cases",6,128.670579664576,5.40630795112475,130.218709893682,5.47135521203559,5.51017404395851,-4.04831386739018,5.57647099410302,-4.09702210427971,123.160405620618,9.45462181851494,124.642238899579,9.5683773163153
"Sierra Leone","SLE","n_age_21_27",24,"Northern","raw cases",6,181.019838334576,4.73640682506608,183.371499892177,4.79793834533557,2.26320052358849,-3.52689190233872,2.292602172145,-3.57271039483573,178.756637810988,8.2632987274048,181.078897720032,8.3706487401713
