"Country","Rurality","Iso code","Admin-1 unit","Age group","age_in_days_midpoint","infection_class","units","value","Scenario","doses"
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_154_160",157,"clinical","ppy",1.55223257879256,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_161_167",164,"clinical","ppy",1.71627967591329,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_168_174",171,"clinical","ppy",1.90088114366783,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_175_181",178,"clinical","ppy",1.9077268132219,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_182_188",185,"clinical","ppy",0.4502862887849,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_189_195",192,"clinical","ppy",0.516183337229916,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_196_202",199,"clinical","ppy",0.746969744318807,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_203_209",206,"clinical","ppy",1.00662950554247,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_210_216",213,"clinical","ppy",1.49535480861287,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_217_223",220,"clinical","ppy",1.91107554735998,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_224_230",227,"clinical","ppy",2.04331731322254,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_231_237",234,"clinical","ppy",2.11882944287473,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_238_244",241,"clinical","ppy",2.38040826650428,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_245_251",248,"clinical","ppy",2.52865012593381,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_252_258",255,"clinical","ppy",2.5090889973951,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_259_265",262,"clinical","ppy",2.6127485319911,"PMC co-delivery with EPI only",6
"Sierra Leone","rural/urban merged","SLE","Eastern","n_age_266_272",269,"clinical","ppy",2.21570800347819,"PMC co-delivery with EPI only",6
