Country,Iso code,v024,v025,dataset
NA,GA,moyen-ogooué,urban,GAKR71FL
NA,GA,moyen-ogooué,rural,GAKR71FL
NA,GA,nyanga,rural,GAKR71FL
NA,GH,western,rural,GHKR8CFL
NA,GH,western,urban,GHKR8CFL
NA,GH,central,rural,GHKR8CFL
NA,GH,central,urban,GHKR8CFL
NA,GH,greater accra,urban,GHKR8CFL
NA,GH,greater accra,rural,GHKR8CFL
NA,GH,volta,rural,GHKR8CFL
NA,GH,volta,urban,GHKR8CFL
NA,GH,eastern,urban,GHKR8CFL
NA,GH,eastern,rural,GHKR8CFL
NA,GH,ashanti,urban,GHKR8CFL
NA,GH,ashanti,rural,GHKR8CFL
NA,GH,western north,rural,GHKR8CFL
NA,GH,western north,urban,GHKR8CFL
NA,GH,ahafo,urban,GHKR8CFL
NA,GH,ahafo,rural,GHKR8CFL
NA,GH,bono,rural,GHKR8CFL
NA,GH,bono,urban,GHKR8CFL
NA,GH,bono east,rural,GHKR8CFL
NA,GH,bono east,urban,GHKR8CFL
NA,GH,oti,rural,GHKR8CFL
NA,GH,oti,urban,GHKR8CFL
NA,GH,northern,rural,GHKR8CFL
NA,GH,northern,urban,GHKR8CFL
NA,GH,savannah,rural,GHKR8CFL
NA,GH,savannah,urban,GHKR8CFL
NA,GH,north east,rural,GHKR8CFL
NA,GH,north east,urban,GHKR8CFL
NA,GH,upper east,rural,GHKR8CFL
NA,GH,upper east,urban,GHKR8CFL
NA,GH,upper west,rural,GHKR8CFL
NA,GH,upper west,urban,GHKR8CFL
NA,GM,banjul,urban,GMKR81FL
NA,GM,kanifing,urban,GMKR81FL
NA,GM,brikama,urban,GMKR81FL
NA,GM,brikama,rural,GMKR81FL
NA,GM,mansakonko,urban,GMKR81FL
NA,GM,mansakonko,rural,GMKR81FL
NA,GM,kerewan,urban,GMKR81FL
NA,GM,kerewan,rural,GMKR81FL
NA,GM,kuntaur,urban,GMKR81FL
NA,GM,kuntaur,rural,GMKR81FL
NA,GM,janjanbureh,urban,GMKR81FL
NA,GM,janjanbureh,rural,GMKR81FL
NA,GM,basse,urban,GMKR81FL
NA,GM,basse,rural,GMKR81FL
NA,GN,mamou,urban,GNKR71FL
NA,GN,mamou,rural,GNKR71FL
NA,GN,n'zérékoré,rural,GNKR71FL
NA,GN,kindia,rural,GNKR71FL
NA,GN,conakry,urban,GNKR71FL
NA,GN,kankan,rural,GNKR71FL
NA,GN,boké,rural,GNKR71FL
NA,GN,faranah,rural,GNKR71FL
NA,GN,labé,rural,GNKR71FL
NA,GN,kindia,urban,GNKR71FL
NA,GN,kankan,urban,GNKR71FL
NA,GN,labé,urban,GNKR71FL
NA,GN,boké,urban,GNKR71FL
NA,GN,faranah,urban,GNKR71FL
NA,GN,n'zérékoré,urban,GNKR71FL
NA,KE,mombasa,urban,KEKR8CFL
NA,KE,kwale,rural,KEKR8CFL
NA,KE,kwale,urban,KEKR8CFL
NA,KE,kilifi,rural,KEKR8CFL
NA,KE,kilifi,urban,KEKR8CFL
NA,KE,tana river,urban,KEKR8CFL
NA,KE,tana river,rural,KEKR8CFL
NA,KE,lamu,rural,KEKR8CFL
NA,KE,lamu,urban,KEKR8CFL
NA,KE,taita taveta,rural,KEKR8CFL
NA,KE,taita taveta,urban,KEKR8CFL
NA,KE,garissa,rural,KEKR8CFL
NA,KE,garissa,urban,KEKR8CFL
NA,KE,wajir,rural,KEKR8CFL
NA,KE,wajir,urban,KEKR8CFL
NA,KE,mandera,rural,KEKR8CFL
NA,KE,mandera,urban,KEKR8CFL
NA,KE,marsabit,rural,KEKR8CFL
NA,KE,marsabit,urban,KEKR8CFL
NA,KE,isiolo,rural,KEKR8CFL
NA,KE,isiolo,urban,KEKR8CFL
NA,KE,meru,urban,KEKR8CFL
NA,KE,meru,rural,KEKR8CFL
NA,KE,tharaka-nithi,rural,KEKR8CFL
NA,KE,tharaka-nithi,urban,KEKR8CFL
NA,KE,embu,rural,KEKR8CFL
NA,KE,embu,urban,KEKR8CFL
NA,KE,kitui,rural,KEKR8CFL
NA,KE,kitui,urban,KEKR8CFL
NA,KE,machakos,urban,KEKR8CFL
NA,KE,machakos,rural,KEKR8CFL
NA,KE,makueni,rural,KEKR8CFL
NA,KE,makueni,urban,KEKR8CFL
NA,KE,nyandarua,rural,KEKR8CFL
NA,KE,nyandarua,urban,KEKR8CFL
