Country,Rurality,Iso code,Admin-1 unit,Age group,age_in_days_midpoint,infection_class,units,value
Ghana,rural/urban merged,GHA,Ahafo,n_age_637_643,640,clinical,ppy,1.72985234163012
Ghana,rural/urban merged,GHA,Ahafo,n_age_644_650,647,clinical,ppy,1.66587421680646
Ghana,rural/urban merged,GHA,Ahafo,n_age_651_657,654,clinical,ppy,1.77573175718621
Ghana,rural/urban merged,GHA,Ahafo,n_age_658_664,661,clinical,ppy,1.69949379473034
Ghana,rural/urban merged,GHA,Ahafo,n_age_665_671,668,clinical,ppy,1.83009127870887
Ghana,rural/urban merged,GHA,Ahafo,n_age_672_678,675,clinical,ppy,1.65672562109859
Ghana,rural/urban merged,GHA,Ahafo,n_age_679_685,682,clinical,ppy,1.67523596254758
Ghana,rural/urban merged,GHA,Ahafo,n_age_686_692,689,clinical,ppy,1.70868154158106
Ghana,rural/urban merged,GHA,Ahafo,n_age_693_699,696,clinical,ppy,1.81388011292091
Ghana,rural/urban merged,GHA,Ahafo,n_age_700_706,703,clinical,ppy,1.82816060472282
Ghana,rural/urban merged,GHA,Ahafo,n_age_707_713,710,clinical,ppy,1.80447873007234
Ghana,rural/urban merged,GHA,Ahafo,n_age_714_720,717,clinical,ppy,1.76850407817783
Ghana,rural/urban merged,GHA,Ahafo,n_age_721_727,724,clinical,ppy,1.85526720805598
Ghana,rural/urban merged,GHA,Ahafo,n_age_728_734,731,clinical,ppy,1.80337801289063
Ghana,rural/urban merged,GHA,Ahafo,n_age_735_741,738,clinical,ppy,1.73177693355955
Ghana,rural/urban merged,GHA,Ahafo,n_age_742_748,745,clinical,ppy,1.74080269749829
Ghana,rural/urban merged,GHA,Ahafo,n_age_749_755,752,clinical,ppy,1.82125967871696
Ghana,rural/urban merged,GHA,Ahafo,n_age_756_762,759,clinical,ppy,1.80174482258399
Ghana,rural/urban merged,GHA,Ahafo,n_age_763_769,766,clinical,ppy,1.78031238877849
Ghana,rural/urban merged,GHA,Ahafo,n_age_770_776,773,clinical,ppy,1.79668040676126
Ghana,rural/urban merged,GHA,Ahafo,n_age_777_783,780,clinical,ppy,1.74243549963478
Ghana,rural/urban merged,GHA,Ahafo,n_age_784_790,787,clinical,ppy,1.71663980310832
Ghana,rural/urban merged,GHA,Ahafo,n_age_791_797,794,clinical,ppy,1.84133155307068
Ghana,rural/urban merged,GHA,Ahafo,n_age_798_804,801,clinical,ppy,1.6996976908391
Ghana,rural/urban merged,GHA,Ahafo,n_age_805_811,808,clinical,ppy,1.8771557732475601
Ghana,rural/urban merged,GHA,Ahafo,n_age_812_818,815,clinical,ppy,1.80841905911233
Ghana,rural/urban merged,GHA,Ahafo,n_age_819_825,822,clinical,ppy,1.81253220608329
Ghana,rural/urban merged,GHA,Ahafo,n_age_826_832,829,clinical,ppy,1.87819762367138
Ghana,rural/urban merged,GHA,Ahafo,n_age_833_839,836,clinical,ppy,1.76062560467785
Ghana,rural/urban merged,GHA,Ahafo,n_age_840_846,843,clinical,ppy,1.74462005724836
Ghana,rural/urban merged,GHA,Ahafo,n_age_847_853,850,clinical,ppy,1.66289593896865
Ghana,rural/urban merged,GHA,Ahafo,n_age_854_860,857,clinical,ppy,1.72461528575621
Ghana,rural/urban merged,GHA,Ahafo,n_age_861_867,864,clinical,ppy,1.73137579618317
Ghana,rural/urban merged,GHA,Ahafo,n_age_868_874,871,clinical,ppy,1.68857085284979
Ghana,rural/urban merged,GHA,Ahafo,n_age_875_881,878,clinical,ppy,1.8084454517123
Ghana,rural/urban merged,GHA,Ahafo,n_age_882_888,885,clinical,ppy,1.73243102155524
Ghana,rural/urban merged,GHA,Ahafo,n_age_889_895,892,clinical,ppy,1.86788320749196
Ghana,rural/urban merged,GHA,Ahafo,n_age_896_902,899,clinical,ppy,1.68146985402713
Ghana,rural/urban merged,GHA,Ahafo,n_age_903_909,906,clinical,ppy,1.68754180903463
Ghana,rural/urban merged,GHA,Ahafo,n_age_910_916,913,clinical,ppy,1.66622157435593
Ghana,rural/urban merged,GHA,Ahafo,n_age_0_6,3,severe,ppy,0.0116344348565637
Ghana,rural/urban merged,GHA,Ahafo,n_age_7_13,10,severe,ppy,0.00592057920491946
Ghana,rural/urban merged,GHA,Ahafo,n_age_14_20,17,severe,ppy,0.00968834000848392
Ghana,rural/urban merged,GHA,Ahafo,n_age_21_27,24,severe,ppy,0.0088061984693551
Ghana,rural/urban merged,GHA,Ahafo,n_age_28_34,31,severe,ppy,0.0110712002538686
Ghana,rural/urban merged,GHA,Ahafo,n_age_35_41,38,severe,ppy,0.0104267921322111
Ghana,rural/urban merged,GHA,Ahafo,n_age_42_48,45,severe,ppy,0.0260424664317906
Ghana,rural/urban merged,GHA,Ahafo,n_age_49_55,52,severe,ppy,0.0133395500130135
Ghana,rural/urban merged,GHA,Ahafo,n_age_56_62,59,severe,ppy,0.0197159586416854
Ghana,rural/urban merged,GHA,Ahafo,n_age_63_69,66,severe,ppy,0.0159734172316169
Ghana,rural/urban merged,GHA,Ahafo,n_age_70_76,73,severe,ppy,0.0184118651062355
Ghana,rural/urban merged,GHA,Ahafo,n_age_77_83,80,severe,ppy,0.0205462385664889
Ghana,rural/urban merged,GHA,Ahafo,n_age_84_90,87,severe,ppy,0.0252569084154561
Ghana,rural/urban merged,GHA,Ahafo,n_age_91_97,94,severe,ppy,0.0382084387243185
Ghana,rural/urban merged,GHA,Ahafo,n_age_98_104,101,severe,ppy,0.0445603563912874
Ghana,rural/urban merged,GHA,Ahafo,n_age_105_111,108,severe,ppy,0.0295096515931668
Ghana,rural/urban merged,GHA,Ahafo,n_age_112_118,115,severe,ppy,0.0401488756574786
Ghana,rural/urban merged,GHA,Ahafo,n_age_119_125,122,severe,ppy,0.0304089604769674
Ghana,rural/urban merged,GHA,Ahafo,n_age_126_132,129,severe,ppy,0.019697127879965
Ghana,rural/urban merged,GHA,Ahafo,n_age_133_139,136,severe,ppy,0.0531271413828804
Ghana,rural/urban merged,GHA,Ahafo,n_age_140_146,143,severe,ppy,0.0453397165634136
Ghana,rural/urban merged,GHA,Ahafo,n_age_147_153,150,severe,ppy,0.0460764748310341
Ghana,rural/urban merged,GHA,Ahafo,n_age_154_160,157,severe,ppy,0.0480654381010853
Ghana,rural/urban merged,GHA,Ahafo,n_age_161_167,164,severe,ppy,0.0516759071207921
Ghana,rural/urban merged,GHA,Ahafo,n_age_168_174,171,severe,ppy,0.0464612328716788
Ghana,rural/urban merged,GHA,Ahafo,n_age_175_181,178,severe,ppy,0.0330430043505539
Ghana,rural/urban merged,GHA,Ahafo,n_age_182_188,185,severe,ppy,0.0648739103661555
Ghana,rural/urban merged,GHA,Ahafo,n_age_189_195,192,severe,ppy,0.0704269102696769
Ghana,rural/urban merged,GHA,Ahafo,n_age_196_202,199,severe,ppy,0.100678556873946
Ghana,rural/urban merged,GHA,Ahafo,n_age_203_209,206,severe,ppy,0.0801782449327719
Ghana,rural/urban merged,GHA,Ahafo,n_age_210_216,213,severe,ppy,0.0411202618864244
Ghana,rural/urban merged,GHA,Ahafo,n_age_217_223,220,severe,ppy,0.0592471567647948
Ghana,rural/urban merged,GHA,Ahafo,n_age_224_230,227,severe,ppy,0.0431881625197407
Ghana,rural/urban merged,GHA,Ahafo,n_age_231_237,234,severe,ppy,0.0682301113001569
Ghana,rural/urban merged,GHA,Ahafo,n_age_238_244,241,severe,ppy,0.068200004477598
