Country,Iso code,Age group,age_in_days_midpoint,N doses,units,clinical_ppy_with_PMC,severe_ppy_with_PMC
Central African Republic,CAF,n_age_686_692,689,4,raw cases,0.560834246,0.030754724
Central African Republic,CAF,n_age_693_699,696,4,raw cases,0.571600251,0.031747999
Central African Republic,CAF,n_age_700_706,703,4,raw cases,0.573850574,0.029147596
Central African Republic,CAF,n_age_707_713,710,4,raw cases,0.539766799,0.028241044
Central African Republic,CAF,n_age_714_720,717,4,raw cases,0.565520401,0.027722399
Central African Republic,CAF,n_age_721_727,724,4,raw cases,0.573063222,0.025217253
Central African Republic,CAF,n_age_728_734,731,4,raw cases,0.56358456,0.027001785
Central African Republic,CAF,n_age_735_741,738,4,raw cases,0.587329001,0.028387191
Central African Republic,CAF,n_age_742_748,745,4,raw cases,0.568505631,0.026725776
Central African Republic,CAF,n_age_749_755,752,4,raw cases,0.576034718,0.026754735
Central African Republic,CAF,n_age_756_762,759,4,raw cases,0.553372071,0.026156614
Central African Republic,CAF,n_age_763_769,766,4,raw cases,0.551685832,0.029677527
Central African Republic,CAF,n_age_770_776,773,4,raw cases,0.570877695,0.028194822
Central African Republic,CAF,n_age_777_783,780,4,raw cases,0.590755395,0.026654575
Central African Republic,CAF,n_age_784_790,787,4,raw cases,0.579235312,0.024504102
Central African Republic,CAF,n_age_791_797,794,4,raw cases,0.574270263,0.024599841
Central African Republic,CAF,n_age_798_804,801,4,raw cases,0.578020362,0.024188902
Central African Republic,CAF,n_age_805_811,808,4,raw cases,0.573797121,0.027486181
Central African Republic,CAF,n_age_812_818,815,4,raw cases,0.57779328,0.023931244
Central African Republic,CAF,n_age_819_825,822,4,raw cases,0.577831337,0.025583603
Central African Republic,CAF,n_age_826_832,829,4,raw cases,0.575735763,0.022244879
Central African Republic,CAF,n_age_833_839,836,4,raw cases,0.578438757,0.022310456
Central African Republic,CAF,n_age_840_846,843,4,raw cases,0.568803669,0.022045922
Central African Republic,CAF,n_age_847_853,850,4,raw cases,0.58820218,0.025757433
Central African Republic,CAF,n_age_854_860,857,4,raw cases,0.572881744,0.024473097
Central African Republic,CAF,n_age_861_867,864,4,raw cases,0.569027873,0.026763496
Central African Republic,CAF,n_age_868_874,871,4,raw cases,0.564985697,0.023395217
Central African Republic,CAF,n_age_875_881,878,4,raw cases,0.591761914,0.025399675
Central African Republic,CAF,n_age_882_888,885,4,raw cases,0.575285681,0.024018167
Central African Republic,CAF,n_age_889_895,892,4,raw cases,0.591237881,0.025209688
Central African Republic,CAF,n_age_896_902,899,4,raw cases,0.608101231,0.024351781
Central African Republic,CAF,n_age_903_909,906,4,raw cases,0.589059592,0.024296984
Central African Republic,CAF,n_age_910_916,913,4,raw cases,0.576468409,0.023591123
