Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_reduction,severe_cases_reduction
Central African Republic,CAF,24-30mo,821,Kemo,raw cases,4,1130.86182,39.10156325,1017.077014,36.67114896,1096.236648,37.88735663,985.9668611,35.53465301,113.7848058,2.430414292,110.2697872,2.352703621,10.061778,6.215644822
Central African Republic,CAF,0-6mo,91,Lobaye,raw cases,4,404.4235266,23.27396643,282.4414156,17.1079727,177.8685022,10.27733573,124.4415548,7.55748605,121.982111,6.165993727,53.4269474,2.719849681,30.16197204,26.49309367
Central African Republic,CAF,6-12mo,273.5,Lobaye,raw cases,4,969.6631254,66.67758122,817.7178454,56.69950356,437.3242713,30.07437969,368.6458281,25.5702607,151.9452799,9.978077655,68.67844325,4.504118994,15.66990391,14.96466649
Central African Republic,CAF,12-18mo,456,Lobaye,raw cases,4,1158.920026,77.94843417,1096.963539,75.53393779,536.3465039,36.07800865,507.6839474,34.96141114,61.95648708,2.414496373,28.66255647,1.116597512,5.346053712,3.097555966
Central African Republic,CAF,18-24mo,638.5,Lobaye,raw cases,4,1265.889086,70.31884035,1207.867799,66.7369607,597.4053817,33.16152908,569.9998432,31.47388513,58.02128687,3.581879643,27.40553852,1.687643948,4.583441591,5.093769501
Central African Republic,CAF,24-30mo,821,Lobaye,raw cases,4,1379.298378,57.65830212,1319.331548,59.1238402,638.3293031,26.66381952,610.574279,27.3449232,59.96683009,-1.465538083,27.75502418,-0.681103685,4.347632901,-2.541764203
Central African Republic,CAF,0-6mo,91,Mbomou,raw cases,4,336.8757166,18.47851284,236.1449312,13.32980526,232.0084177,12.73104477,162.8453254,9.206779049,100.7307855,5.148707574,69.16309229,3.52426572,29.90146826,27.86321399
Central African Republic,CAF,6-12mo,273.5,Mbomou,raw cases,4,993.7408015,62.23432394,760.5554973,48.6604721,702.2128592,43.95397592,537.232349,34.35735533,233.1853042,13.57385184,164.9805102,9.596620596,23.46540505,21.81087699
Central African Republic,CAF,12-18mo,456,Mbomou,raw cases,4,1162.920175,58.91916181,1018.722583,53.63067174,842.5386348,42.68849908,738.1131027,38.85782948,144.1975914,5.288490065,104.425532,3.830669598,12.39961216,8.97584063
Central African Republic,CAF,18-24mo,638.5,Mbomou,raw cases,4,1218.107379,54.7147711,1077.772298,51.72851016,900.4436203,40.42369081,796.6782436,38.22102352,140.3350806,2.986260943,103.7653767,2.202667292,11.52074793,5.457869753
