Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000
Central African Republic,CAF,n_age_588_594,591,Mambere_Kadei,raw cases,4,84.2960104,3.781079283,707.727418,31.74496,7.753398783,0.229147507,65.09552321,1.92386298,76.54261162,3.551931776,642.6318948,29.82109702
Central African Republic,CAF,n_age_595_601,598,Mambere_Kadei,raw cases,4,79.43645649,3.738940869,667.465959,31.416504,7.757320229,-0.941739354,65.1809939,-7.912978359,71.67913626,4.680680223,602.2849651,39.32948236
Central African Republic,CAF,n_age_602_608,605,Mambere_Kadei,raw cases,4,86.26202019,3.145801582,725.322718,26.451054,7.19187022,0.387867327,60.47188373,3.261330805,79.07014997,2.757934256,664.8508343,23.1897232
Central African Republic,CAF,n_age_609_615,612,Mambere_Kadei,raw cases,4,81.03076674,5.613079887,681.912183,47.236719,8.210724403,0.883090197,69.09712479,7.431621198,72.82004234,4.72998969,612.8150582,39.8050978
Central African Republic,CAF,n_age_616_622,619,Mambere_Kadei,raw cases,4,83.54566417,7.615976362,703.656249,64.144913,8.363764547,0.451924773,70.44309537,3.806297952,75.18189962,7.164051589,633.2131536,60.33861505
Central African Republic,CAF,n_age_623_629,626,Mambere_Kadei,raw cases,4,82.49935123,5.867671605,695.360979,49.456751,5.959285504,0.822478853,50.22893563,6.932414521,76.54006573,5.045192752,645.1320434,42.52433648
Central African Republic,CAF,n_age_630_636,633,Mambere_Kadei,raw cases,4,84.31753218,5.248103248,711.178252,44.265253,6.748278602,0.504678655,56.91851809,4.256724246,77.56925358,4.743424593,654.2597339,40.00852875
Central African Republic,CAF,n_age_637_643,640,Mambere_Kadei,raw cases,4,85.23608449,5.17414993,719.434323,43.672361,10.92352991,1.111177195,92.19994551,9.378880054,74.31255458,4.062972736,627.2343775,34.29348095
Central African Republic,CAF,n_age_644_650,647,Mambere_Kadei,raw cases,4,75.35283281,6.673839977,636.51145,56.374464,4.916646525,1.158321068,41.53130934,9.784431392,70.43618629,5.515518908,594.9801407,46.59003261
Central African Republic,CAF,n_age_651_657,654,Mambere_Kadei,raw cases,4,79.37344731,3.041046977,671.035883,25.7095,3.748367344,-0.188464059,31.68930008,-1.593305448,75.62507996,3.229511036,639.3465829,27.30280545
Central African Republic,CAF,n_age_658_664,661,Mambere_Kadei,raw cases,4,88.31800506,4.535776639,747.216385,38.375036,11.90008221,0.897428094,100.680902,7.592709731,76.41792285,3.638348545,646.535483,30.78232627
Central African Republic,CAF,n_age_665_671,668,Mambere_Kadei,raw cases,4,95.62403727,6.152941895,809.634161,52.096022,12.93211104,1.350647892,109.4942148,11.43573001,82.69192622,4.802294004,700.1399462,40.66029199
Central African Republic,CAF,n_age_672_678,675,Mambere_Kadei,raw cases,4,89.66435881,5.872451908,759.713271,49.756444,11.95252004,1.23183222,101.2719905,10.43713798,77.71183877,4.640619688,658.4412805,39.31930602
Central African Republic,CAF,n_age_679_685,682,Mambere_Kadei,raw cases,4,87.33240785,2.046433709,740.543447,17.352929,7.908754396,-0.643797924,67.06303405,-5.459145647,79.42365345,2.690231633,673.4804129,22.81207465
Central African Republic,CAF,n_age_686_692,689,Mambere_Kadei,raw cases,4,87.54282062,6.248133412,742.915079,53.023566,8.987616633,-0.120258112,76.27165624,-1.020547023,78.55520399,6.368391524,666.6434228,54.04411302
Central African Republic,CAF,n_age_693_699,696,Mambere_Kadei,raw cases,4,97.42050449,5.897451621,827.361262,50.085175,14.95961172,0.970854975,127.0472094,8.245161545,82.46089277,4.926596646,700.3140526,41.84001346
Central African Republic,CAF,n_age_700_706,703,Mambere_Kadei,raw cases,4,90.51776547,4.492858487,769.281975,38.183389,10.03529112,-0.284472081,85.28677804,-2.417638605,80.48247435,4.777330568,683.995197,40.60102761
Central African Republic,CAF,n_age_707_713,710,Mambere_Kadei,raw cases,4,83.84504831,3.524755754,713.134756,29.979419,7.759698184,0.252840364,65.99925198,2.150505663,76.08535013,3.27191539,647.135504,27.82891334
Central African Republic,CAF,n_age_714_720,717,Mambere_Kadei,raw cases,4,85.03472321,2.741354694,723.713723,23.331128,5.866637158,-0.376805836,49.92978937,-3.206920001,79.16808605,3.11816053,673.7839336,26.538048
Central African Republic,CAF,n_age_721_727,724,Mambere_Kadei,raw cases,4,85.61367778,4.573933287,729.218604,38.958696,8.047565667,-0.064919298,68.54552629,-0.552953229,77.56611212,4.638852584,660.6730777,39.51164923
Central African Republic,CAF,n_age_728_734,731,Mambere_Kadei,raw cases,4,90.18433154,1.366685375,768.839519,11.651267,9.593980276,-1.123615558,81.79060658,-9.579048052,80.59035127,2.490300933,687.0489124,21.23031505
Central African Republic,CAF,n_age_735_741,738,Mambere_Kadei,raw cases,4,88.15290009,5.656724194,752.111383,48.262583,7.557525216,0.925705697,64.4800198,7.898024809,80.59537487,4.731018498,687.6313632,40.36455819
