Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_reduction,severe_cases_reduction,scenario,Scenario
Angola,AGO,6-12mo,273.5,Lunda_Norte,raw cases,5,5213.41331680074,339.633875019694,5002.27323739494,325.05767378177,618.384672691183,40.266920803369,593.423446474626,38.5448772079054,211.1400794058,14.5762012379241,24.9612262165571,1.72204359546351,4.04993938856488,4.29173952011672,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,12-18mo,456,Lunda_Norte,raw cases,5,6016.30306255501,315.189156128503,5967.23698652965,312.319127031438,731.434729969104,38.3158756817818,725.456405253417,37.966176989684,49.0660760253622,2.8700290970641,5.97832471568745,0.349698692097888,0.815551934721267,0.910573552820451,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,18-24mo,638.5,Lunda_Norte,raw cases,5,6480.65493007046,304.898289156351,6480.65493007046,304.898289156351,805.041513423079,37.8542340405917,805.041513423079,37.8542340405917,0,0,0,0,0,0,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,24-30mo,821,Lunda_Norte,raw cases,5,6934.86740380707,268.736656795677,6934.86740380707,268.736656795677,847.114117993866,32.8086186973172,847.114117993866,32.8086186973172,0,0,0,0,0,0,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,0-6mo,91,Lunda_Sul,raw cases,5,981.220884399826,74.9769659773903,829.147495723592,63.5418521597675,194.715332682894,14.8772260404055,164.604926882692,12.6123344476881,152.073388676234,11.4351138176228,30.1104058002021,2.26489159271743,15.4983848279229,15.2515024695333,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,6-12mo,273.5,Lunda_Sul,raw cases,5,1633.16285143174,126.903130465209,1451.7365377889,113.13696206162,331.642972136699,25.7536198130985,294.867512518989,22.9656360323572,181.426313642847,13.7661684035893,36.7754596177101,2.7879837807413,11.1088929976454,10.8477768461065,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,12-18mo,456,Lunda_Sul,raw cases,5,1903.81270210474,130.360309527536,1851.99518597423,126.828013901169,396.264700110469,27.1264650809297,385.455381277154,26.3897195961047,51.8175161305135,3.53229562636697,10.8093188333145,0.736745484824979,2.72177594325467,2.70964041061965,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,18-24mo,638.5,Lunda_Sul,raw cases,5,2026.64655315966,123.302402728827,2026.64655315966,123.302402728827,430.980900884878,26.2069781003131,430.980900884878,26.2069781003131,0,0,0,0,0,0,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,24-30mo,821,Lunda_Sul,raw cases,5,2243.87161852752,104.811965067437,2243.87161852752,104.811965067437,469.17121821350503,21.909328851554,469.17121821350503,21.909328851554,0,0,0,0,0,0,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,0-6mo,91,Malanje,raw cases,5,2923.25138591999,180.819501169582,2343.66866821883,146.781467864554,305.004548156592,18.8569239587568,244.643116201076,15.3101751332858,579.582717701159,34.038033305028,60.3614319555157,3.54674882547096,19.8266464695015,18.8243154553918,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,6-12mo,273.5,Malanje,raw cases,5,5870.24246609537,376.29748371339,5023.04756709529,322.785591574932,626.862669643469,40.186693714583,536.604393449872,34.4835064688017,847.194899000075,53.511892138457704,90.2582761935969,5.70318724578122,14.4320256598122,14.2206351236766,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,12-18mo,456,Malanje,raw cases,5,6748.19583226775,337.221164775345,6435.13277513137,322.575009989608,738.465514766798,36.9122869822603,704.134243988857,35.3059318323113,313.063057136381,14.6461547857373,34.3312707779415,1.60635514994909,4.63921120426606,4.34318966767537,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,18-24mo,638.5,Malanje,raw cases,5,7215.19881577664,332.844820990649,7215.19881577664,332.844820990649,806.722608893654,37.2052904673806,806.722608893654,37.2052904673806,0,0,0,0,0,0,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,24-30mo,821,Malanje,raw cases,5,7586.82208625232,260.899580019256,7586.82208625232,260.899580019256,834.133976917367,28.6714363125374,834.133976917367,28.6714363125374,0,0,0,0,0,0,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,0-6mo,91,Moxico,raw cases,5,4127.79859907827,250.551135829326,3951.28095618488,239.114001941231,359.471780197062,21.8376518877782,344.124759728137,20.8438231117434,176.51764289339,11.4371338880945,15.3470204689249,0.993828776034846,4.27631432727376,4.56479027733699,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,6-12mo,273.5,Moxico,raw cases,5,8022.16277498242,513.244221383731,7810.13079830633,498.854768435295,715.378226926288,45.7466367047254,696.475023272796,44.4639444741332,212.03197667609,14.3894529484363,18.9032036534923,1.2826922305922,2.6430774670557,2.80362687954705,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,12-18mo,456,Moxico,raw cases,5,9172.38048709962,492.512085027779,9131.68713564927,490.262783587733,838.690751957799,45.0082532402199,834.961878825261,44.8021396198492,40.6933514503526,2.24930144004526,3.72887313253773,0.206113620370722,0.443650931266809,0.456699745736877,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,18-24mo,638.5,Moxico,raw cases,5,9777.83768016794,467.81261269497,9777.83768016794,467.81261269497,913.82588024451,43.6891867100159,913.82588024451,43.6891867100159,0,0,0,0,0,0,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,24-30mo,821,Moxico,raw cases,5,10324.790648325,396.45810518431,10324.790648325,396.45810518431,948.967777532273,36.4265495094064,948.967777532273,36.4265495094064,0,0,0,0,0,0,PMC co-delivery with EPI only,PMC co-delivery with EPI only
