Country,Iso code,Age group,age_in_days_midpoint,Admin-1 unit,units,N doses,clinical_cases_no_PMC,severe_cases_no_PMC,clinical_cases_no_PMC_per1000,severe_cases_no_PMC_per1000,clinical_cases_averted_with_PMC,severe_cases_averted_with_PMC,clinical_cases_averted_with_PMC_per1000,severe_cases_averted_with_PMC_per1000,clinical_cases_with_PMC,severe_cases_with_PMC,clinical_cases_with_PMC_per1000,severe_cases_with_PMC_per1000,scenario,Scenario
Angola,AGO,n_age_567_573,570,Uige,raw cases,5,305.330722620461,13.4156078831749,927.674867208561,40.7601375804439,0,0,0,0,305.330722620461,13.4156078831749,927.674867208561,40.7601375804439,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_574_580,577,Uige,raw cases,5,289.742263429142,14.3636886549899,881.011618702995,43.6752872801839,0,0,0,0,289.742263429142,14.3636886549899,881.011618702995,43.6752872801839,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_581_587,584,Uige,raw cases,5,281.684774265348,17.3120285638668,857.205516958643,52.68288438164899,0,0,0,0,281.684774265348,17.3120285638668,857.205516958643,52.68288438164899,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_588_594,591,Uige,raw cases,5,292.520949311706,11.2039931042607,890.919101620776,34.1235439530069,0,0,0,0,292.520949311706,11.2039931042607,890.919101620776,34.1235439530069,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_595_601,598,Uige,raw cases,5,301.962694311896,15.6030273668735,920.457855657231,47.5619319287139,0,0,0,0,301.962694311896,15.6030273668735,920.457855657231,47.5619319287139,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_602_608,605,Uige,raw cases,5,305.958554769928,13.1477906934304,933.363345417879,40.1089157833884,0,0,0,0,305.958554769928,13.1477906934304,933.363345417879,40.1089157833884,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_609_615,612,Uige,raw cases,5,328.623345513699,14.1479198677689,1003.27869314766,43.1932385494545,0,0,0,0,328.623345513699,14.1479198677689,1003.27869314766,43.1932385494545,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_616_622,619,Uige,raw cases,5,314.791770860008,15.29314754332,961.822800910966,46.7270728350843,0,0,0,0,314.791770860008,15.29314754332,961.822800910966,46.7270728350843,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_623_629,626,Uige,raw cases,5,304.403946748952,13.7300260577685,930.844119154868,41.9853755124183,0,0,0,0,304.403946748952,13.7300260577685,930.844119154868,41.9853755124183,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_630_636,633,Uige,raw cases,5,317.661870173368,13.9539733420948,972.10072318132,42.7015920094539,0,0,0,0,317.661870173368,13.9539733420948,972.10072318132,42.7015920094539,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_637_643,640,Uige,raw cases,5,314.706571419312,13.7013156908729,963.840046468314,41.9625071462923,0,0,0,0,314.706571419312,13.7013156908729,963.840046468314,41.9625071462923,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_644_650,647,Uige,raw cases,5,310.880830815046,16.8633806529789,952.894044032017,51.6886645739453,0,0,0,0,310.880830815046,16.8633806529789,952.894044032017,51.6886645739453,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_651_657,654,Uige,raw cases,5,321.026370374492,11.2058416013187,984.819540359331,34.376402668343,0,0,0,0,321.026370374492,11.2058416013187,984.819540359331,34.376402668343,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_658_664,661,Uige,raw cases,5,295.584977232245,11.8847116688708,907.507025288724,36.4885233140819,0,0,0,0,295.584977232245,11.8847116688708,907.507025288724,36.4885233140819,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_665_671,668,Uige,raw cases,5,290.699355039891,12.8200859696579,893.216060991669,39.3915792823863,0,0,0,0,290.699355039891,12.8200859696579,893.216060991669,39.3915792823863,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_672_678,675,Uige,raw cases,5,306.06136715405,13.6340742915836,941.189503354597,41.9270413986498,0,0,0,0,306.06136715405,13.6340742915836,941.189503354597,41.9270413986498,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_679_685,682,Uige,raw cases,5,313.687805481698,12.8164139122545,965.419429972304,39.4443609130984,0,0,0,0,313.687805481698,12.8164139122545,965.419429972304,39.4443609130984,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_686_692,689,Uige,raw cases,5,306.309268053814,9.90485016713293,943.443871872015,30.5073047621606,0,0,0,0,306.309268053814,9.90485016713293,943.443871872015,30.5073047621606,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_693_699,696,Uige,raw cases,5,304.512261147635,14.1657205134205,938.744227326557,43.6697961119133,0,0,0,0,304.512261147635,14.1657205134205,938.744227326557,43.6697961119133,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_700_706,703,Uige,raw cases,5,308.342516087467,16.8648514875646,951.365114584633,52.035092570135,0,0,0,0,308.342516087467,16.8648514875646,951.365114584633,52.035092570135,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_707_713,710,Uige,raw cases,5,311.702703142722,10.6096372788961,962.618282564028,32.7652943431868,0,0,0,0,311.702703142722,10.6096372788961,962.618282564028,32.7652943431868,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_714_720,717,Uige,raw cases,5,289.574926706817,15.1442991325017,895.075867272764,46.8110165283278,0,0,0,0,289.574926706817,15.1442991325017,895.075867272764,46.8110165283278,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_721_727,724,Uige,raw cases,5,322.744684779724,12.5260143234971,998.521504019644,38.7535263987583,0,0,0,0,322.744684779724,12.5260143234971,998.521504019644,38.7535263987583,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_728_734,731,Uige,raw cases,5,348.937386470546,13.8501528878282,1080.5063447299,42.8878608341406,0,0,0,0,348.937386470546,13.8501528878282,1080.5063447299,42.8878608341406,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_735_741,738,Uige,raw cases,5,309.793965535614,8.33278569326133,960.064355076316,25.8236486587419,0,0,0,0,309.793965535614,8.33278569326133,960.064355076316,25.8236486587419,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_742_748,745,Uige,raw cases,5,314.016950458863,16.2206238251446,973.894648788811,50.3067707658479,0,0,0,0,314.016950458863,16.2206238251446,973.894648788811,50.3067707658479,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_749_755,752,Uige,raw cases,5,296.040624778044,13.9943126077385,918.822561670605,43.4342082905076,0,0,0,0,296.040624778044,13.9943126077385,918.822561670605,43.4342082905076,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_756_762,759,Uige,raw cases,5,327.267452496115,10.9955583855221,1016.44293914498,34.1505322257887,0,0,0,0,327.267452496115,10.9955583855221,1016.44293914498,34.1505322257887,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_763_769,766,Uige,raw cases,5,312.888869264293,13.5725039983569,972.503533392234,42.1852913030059,0,0,0,0,312.888869264293,13.5725039983569,972.503533392234,42.1852913030059,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_770_776,773,Uige,raw cases,5,306.495984739554,13.7745393076342,953.421310206499,42.8486504491577,0,0,0,0,306.495984739554,13.7745393076342,953.421310206499,42.8486504491577,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_777_783,780,Uige,raw cases,5,308.760588851621,13.8833117673351,961.275902233457,43.2234343598393,0,0,0,0,308.760588851621,13.8833117673351,961.275902233457,43.2234343598393,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_784_790,787,Uige,raw cases,5,293.863950874196,15.4189582171753,915.578976565949,48.0401694124031,0,0,0,0,293.863950874196,15.4189582171753,915.578976565949,48.0401694124031,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_791_797,794,Uige,raw cases,5,285.552911778136,11.4640820674998,890.371007818952,35.745691544864,0,0,0,0,285.552911778136,11.4640820674998,890.371007818952,35.745691544864,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_798_804,801,Uige,raw cases,5,307.362201096131,15.5475439901566,959.094070818845,48.5146098107574,0,0,0,0,307.362201096131,15.5475439901566,959.094070818845,48.5146098107574,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_805_811,808,Uige,raw cases,5,336.39319538763,11.9294318632791,1050.49618039545,37.2534961422806,0,0,0,0,336.39319538763,11.9294318632791,1050.49618039545,37.2534961422806,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_812_818,815,Uige,raw cases,5,312.755290870081,12.8169388501285,977.417576167187,40.0552817825216,0,0,0,0,312.755290870081,12.8169388501285,977.417576167187,40.0552817825216,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_819_825,822,Uige,raw cases,5,318.844980930428,10.2422591319297,997.253360426642,32.0347753565741,0,0,0,0,318.844980930428,10.2422591319297,997.253360426642,32.0347753565741,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_826_832,829,Uige,raw cases,5,287.142943446589,15.4811001984284,898.78585202078,48.4573768905859,0,0,0,0,287.142943446589,15.4811001984284,898.78585202078,48.4573768905859,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_833_839,836,Uige,raw cases,5,310.270199372214,13.7436997695303,971.946730261591,43.0532615756207,0,0,0,0,310.270199372214,13.7436997695303,971.946730261591,43.0532615756207,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_840_846,843,Uige,raw cases,5,307.773966823138,11.7903601743356,964.904921384229,36.9640638372985,0,0,0,0,307.773966823138,11.7903601743356,964.904921384229,36.9640638372985,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_847_853,850,Uige,raw cases,5,316.365302511002,11.6346138405414,992.541902011243,36.5016063986843,0,0,0,0,316.365302511002,11.6346138405414,992.541902011243,36.5016063986843,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_854_860,857,Uige,raw cases,5,289.902553331056,11.9985449824589,910.19532044791,37.6713463532226,0,0,0,0,289.902553331056,11.9985449824589,910.19532044791,37.6713463532226,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_861_867,864,Uige,raw cases,5,288.989400895354,8.81574931502097,908.003396399084,27.6990446536845,0,0,0,0,288.989400895354,8.81574931502097,908.003396399084,27.6990446536845,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_868_874,871,Uige,raw cases,5,321.082654153248,11.813671170547,1009.60794663386,37.1467475381306,0,0,0,0,321.082654153248,11.813671170547,1009.60794663386,37.1467475381306,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_875_881,878,Uige,raw cases,5,315.011495966002,9.53131915871083,991.222963042496,29.9914845622672,0,0,0,0,315.011495966002,9.53131915871083,991.222963042496,29.9914845622672,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_882_888,885,Uige,raw cases,5,296.446393142819,9.36415215850846,933.492484757025,29.4871716043365,0,0,0,0,296.446393142819,9.36415215850846,933.492484757025,29.4871716043365,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_889_895,892,Uige,raw cases,5,316.83522065964,9.93656032838563,998.469029370339,31.3139041982363,0,0,0,0,316.83522065964,9.93656032838563,998.469029370339,31.3139041982363,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_896_902,899,Uige,raw cases,5,334.693521997381,13.2358713358464,1055.64605767105,41.746835469486,0,0,0,0,334.693521997381,13.2358713358464,1055.64605767105,41.746835469486,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_903_909,906,Uige,raw cases,5,333.437399866253,10.1853410416311,1052.53527679953,32.1512546488514,0,0,0,0,333.437399866253,10.1853410416311,1052.53527679953,32.1512546488514,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_910_916,913,Uige,raw cases,5,304.224087284687,12.1781602436075,961.10158411761,38.4731176490193,0,0,0,0,304.224087284687,12.1781602436075,961.10158411761,38.4731176490193,PMC co-delivery with EPI only,PMC co-delivery with EPI only
