Country,Iso code,Age group,age_in_days_midpoint,N doses,units,clinical_ppy_with_PMC,severe_ppy_with_PMC,scenario,Scenario
Angola,AGO,n_age_413_419,416,5,raw cases,0.305840026600414,0.0157691042170994,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_420_426,423,5,raw cases,0.303429166617416,0.0209723789052924,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_427_433,430,5,raw cases,0.30060983997675,0.0159563726384666,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_434_440,437,5,raw cases,0.322714129854936,0.01651514743403,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_441_447,444,5,raw cases,0.320141517490778,0.0211902358317318,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_448_454,451,5,raw cases,0.305147518657031,0.0164538822097048,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_455_461,458,5,raw cases,0.255216514890971,0.0123839857475534,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_462_468,465,5,raw cases,0.256516866334259,0.0126487114815533,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_469_475,472,5,raw cases,0.269266072860451,0.0181394909773466,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_476_482,479,5,raw cases,0.289154874182119,0.0162240683841204,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_483_489,486,5,raw cases,0.281034713841555,0.0157557194697467,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_490_496,493,5,raw cases,0.28834698851928,0.0152329644284204,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_497_503,500,5,raw cases,0.312156366402988,0.0159712114512097,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_504_510,507,5,raw cases,0.300761377931392,0.0194040646873118,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_511_517,514,5,raw cases,0.309258051437648,0.0209701544070594,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_518_524,521,5,raw cases,0.325681700817071,0.018108387027282902,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_525_531,528,5,raw cases,0.319382932417254,0.0152128187213648,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_532_538,535,5,raw cases,0.329183308954575,0.0154558724680105,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_539_545,542,5,raw cases,0.326166277442161,0.0218098914309192,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_546_552,549,5,raw cases,0.329175109059248,0.0193204064534352,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_553_559,556,5,raw cases,0.350610332986248,0.0249561649925347,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_560_566,563,5,raw cases,0.320065036560007,0.0200118515969266,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_567_573,570,5,raw cases,0.322199767458437,0.0206421306352417,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_574_580,577,5,raw cases,0.329786031330154,0.0182427074050752,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_581_587,584,5,raw cases,0.327097922925285,0.0147181305010117,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_588_594,591,5,raw cases,0.332909098860491,0.016943101584585,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_595_601,598,5,raw cases,0.331101814640457,0.0213413546729382,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_602_608,605,5,raw cases,0.321699121880132,0.0160855226082789,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_609_615,612,5,raw cases,0.34415269026246,0.0185350653563355,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_616_622,619,5,raw cases,0.340281924012725,0.0181632140480438,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_623_629,626,5,raw cases,0.338485540334826,0.018006917615714,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_630_636,633,5,raw cases,0.354037622385507,0.0191578287031265,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_637_643,640,5,raw cases,0.334169641308844,0.0259264773845855,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_644_650,647,5,raw cases,0.350196505107911,0.0205781014012456,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_651_657,654,5,raw cases,0.340625738121661,0.0148930144782636,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_658_664,661,5,raw cases,0.343883588268937,0.0160787310593254,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_665_671,668,5,raw cases,0.325598194681727,0.0159132076398448,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_672_678,675,5,raw cases,0.353702312243857,0.0171687691753835,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_679_685,682,5,raw cases,0.359343179256859,0.0207767234836054,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_686_692,689,5,raw cases,0.345166596600049,0.0177398531394398,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_693_699,696,5,raw cases,0.359209923117872,0.0212700596064294,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_700_706,703,5,raw cases,0.340880831969454,0.016534048337332,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_707_713,710,5,raw cases,0.358600003562608,0.0153209727434582,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_714_720,717,5,raw cases,0.353367024880981,0.0215414675926639,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_721_727,724,5,raw cases,0.368767689531726,0.0201563381011866,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_728_734,731,5,raw cases,0.364382776516505,0.0211065609334055,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_735_741,738,5,raw cases,0.358013051811431,0.0161756960146343,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_742_748,745,5,raw cases,0.344340104148208,0.024586522574516,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_749_755,752,5,raw cases,0.357919408937769,0.0182447148639762,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_756_762,759,5,raw cases,0.379465596172742,0.0214653433207139,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_763_769,766,5,raw cases,0.351886438966914,0.0158606448348129,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_770_776,773,5,raw cases,0.378605570741323,0.0230659517816263,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_777_783,780,5,raw cases,0.360262513111499,0.0189740198185114,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_784_790,787,5,raw cases,0.356189020171734,0.0165737006538523,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_791_797,794,5,raw cases,0.356210239904564,0.0145595917075088,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_798_804,801,5,raw cases,0.356558331116955,0.0151307667353502,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_805_811,808,5,raw cases,0.390369612177436,0.0206593732876882,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_812_818,815,5,raw cases,0.366594897418745,0.016618713471759,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_819_825,822,5,raw cases,0.372196978345721,0.0179762380088505,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_826_832,829,5,raw cases,0.36943170740052,0.0215702374724617,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_833_839,836,5,raw cases,0.366019437063068,0.0194176452916446,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_840_846,843,5,raw cases,0.361918856593933,0.0179401905988475,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_847_853,850,5,raw cases,0.349736507153725,0.0208749397163034,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_854_860,857,5,raw cases,0.368546258088169,0.0162335147166921,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_861_867,864,5,raw cases,0.362448551913569,0.0150030429781723,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_868_874,871,5,raw cases,0.367954621762572,0.017581548904217,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_875_881,878,5,raw cases,0.370182094780844,0.0133972981085102,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_882_888,885,5,raw cases,0.375192878927045,0.0188847899372106,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_889_895,892,5,raw cases,0.384505900036396,0.0149752206574116,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_896_902,899,5,raw cases,0.373883364882613,0.0144881335328499,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_903_909,906,5,raw cases,0.36942596607341,0.0162065726143809,PMC co-delivery with EPI only,PMC co-delivery with EPI only
Angola,AGO,n_age_910_916,913,5,raw cases,0.356794370098135,0.0115963948582568,PMC co-delivery with EPI only,PMC co-delivery with EPI only
